Name	SMILES	Melting Point	Boiling Point	Length	Cycle_Count	Acid-P	Amide	Acyl_Halide-F	Acyl_Halide-Cl	Acyl_Halide-Br	Acyl_Halide-I	Ester-C	Acid-C	Ketone	Base-C	Aldehyde	Ether	Nitrile	Imine	Nitro	Amine-T	Amine-S	Amine-P	Allene	Alkine	Alkene	Org-Chloride	Org-Fluoride	Org-Bromide	Org-Iodide	Unidentified Acid	Unidentified Oxyl	Unidentified Base
3-aminopropanoic acid	C(CN)C(=O)O	473.15	None	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
benzaldehyde	C1=CC=C(C=C1)C=O	240.90377777777775	452.0472222222222	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
benzene	C1=CC=CC=C1	278.73765079365074	360.68777777777774	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
benzoate	C1=CC=C(C=C1)C(=O)[O-]	395.5	522.3499999999999	6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
2-(trimethylazaniumyl)acetate	C[N+](C)(C)CC(=O)[O-]	568.8166666666666 and decomposes	None	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoic acid	C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2	505.15 and decomposes	None	6	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-[[3-amino-5-[carbamimidoyl(methyl)amino]pentanoyl]amino]-6-(4-amino-2-oxopyrimidin-1-yl)-3,6-dihydro-2H-pyran-2-carboxylic acid	CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N	508.65	None	4	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1
bromide	[Br-]	265.9	None	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bromane	Br	186.38999999999996	206.42955555555554	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
butanal	CCCC=O	174.60022222222221	348.0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
butane-2,3-diol	CC(C(C)O)O	293.25	455.275	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
butan-1-ol	CCCCO	183.60833333333332	390.6238095238095	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
butanoic acid	CCCC(=O)O	266.35185185185185	436.83	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
calcium(2+)	[Ca+2]	1123.15	None	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pentane-1,5-diamine	C(CCN)CCN	283.0933333333333	452.15	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2-amino-4-(diaminomethylideneamino)oxybutanoic acid	C(CON=C(N)N)C(C(=O)O)N	457.15	None	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0
carbon dioxide	C(=O)=O	202.97608333333332	1451.3612000000003	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
formic acid	C(=O)O	277.6944444444444	375.72936507936504	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-hydroxy-4-(trimethylazaniumyl)butanoate	C[N+](C)(C)CC(CC(=O)[O-])O	470.15	None	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
benzene-1,2-diol	C1=CC=C(C(=C1)O)O	378.15	518.5230158730159	5	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O	485.65	None	2	2	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methane	C	90.63529629629627	111.82777777777775	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,2,3,4,6,7,8,9,10,10-decachloropentacyclo[5.3.0.02,6.03,9.04,8]decan-5-one	C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	623.15 and decomposes	935.15	3	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2-chlorobenzene-1,4-diol	C1=CC(=C(C=C1O)Cl)O	377.15	536.15	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1
2-hydroxyethyl(trimethyl)azanium	C[N+](C)(C)CCO	547.15	386.15	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-phenylprop-2-enal	C1=CC=C(C=C1)C=CC=O	265.65	522.65	8	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
3-phenylprop-2-en-1-ol	C1=CC=C(C=C1)C=CCO	306.15	523.15	8	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
prop-1-ene-1,2,3-tricarboxylic acid	C(C(=CC(=O)O)C(=O)O)C(=O)O	467.65	None	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-hydroxypropane-1,2,3-tricarboxylic acid	C(C(=O)O)C(CC(=O)O)(C(=O)O)O	426.1129629629629	2265.15 and decomposes	3	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chloride	[Cl-]	172.14999999999998	None	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chromen-2-one	C1=CC=C2C(=C1)C=CC(=O)O2	342.9753968253968	572.5875555555556	9	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
(4-propan-2-ylphenyl)methanol	CC(C)C1=CC=C(C=C1)CO	301.15	522.15	8	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
4-propan-2-ylbenzaldehyde	CC(C)C1=CC=C(C=C1)C=O	None	508.65	8	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
2-hydroxy-2-(4-hydroxyphenyl)acetic acid	C1=CC(=CC=C1C(C(=O)O)O)O	377.65	None	4	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
2-methylphenol	CC1=CC=CC=C1O	303.787037037037	464.1944444444444	8	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
2-hydroxybenzoic acid	C1=CC=C(C(=C1)C(=O)O)O	431.3537037037037	484.15	5	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
3-methylbenzene-1,2-diol	CC1=C(C(=CC=C1)O)O	341.15	514.15	4	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
3-methylphenol	CC1=CC(=CC=C1)O	284.94027777777774	475.50925925925924	5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
2-(hydroxymethyl)-6-(4-hydroxyphenoxy)oxane-3,4,5-triol	C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O	434.48333333333335	None	7	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
octane	CCCCCCCC	216.40126984126982	398.807037037037	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
benzene-1,3,5-triol	C1=C(C=C(C=C1O)O)O	491.65	None	3	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
(4-methyl-2-oxochromen-7-yl) acetate	CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C	426.65	None	13	2	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
3,4,5-trihydroxybenzoic acid	C1=C(C=C(C(=C1O)O)O)C(=O)O	512.1944444444443 and decomposes	2265.15	4	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
octanoic acid	CCCCCCCC(=O)O	289.54629629629625	512.3305555555555	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
heptanedioic acid	C(CCC(=O)O)CCC(=O)O	378.4	615.15	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-(1H-indol-3-yl)acetamide	C1=CC=C2C(=C1)C(=CN2)CC(=O)N	423.65	None	9	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0
2-nitropropane	CC(C)[N+](=O)[O-]	181.1611111111111	393.4481481481481	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1-methyl-5-pyridin-3-ylpyrrolidin-2-one	CN1C(CCC1=O)C2=CN=CC=C2	314.15	483.65	9	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0
3-(1-methyl-1-oxidopyrrolidin-1-ium-2-yl)pyridine	C[N+]1(CCCC1C2=CN=CC=C2)[O-]	194.14999999999998	None	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1
3-pyrrolidin-2-ylpyridine	C1CC(NC1)C2=CN=CC=C2	None	538.15	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0
2-aminobutanedioic acid	C(C(C(=O)O)N)C(=O)O	543.65	None	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
propane-1,3-diamine	C(CN)CN	261.0388888888889	410.79999999999995	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
3-hydroxybutanoic acid	CC(CC(=O)O)O	319.15	None	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-(tert-butylamino)-1-(3-chlorophenyl)propan-1-one	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C	506.65	None	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0
3-chlorobenzoic acid	C1=CC(=CC(=C1)Cl)C(=O)O	431.09444444444443	2265.15	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
3,5-dihydroxy-3-methylpentanoic acid	CC(CCO)(CC(=O)O)O	298.65	None	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hexane-1,2,3,4,5,6-hexol	C(C(C(C(C(CO)O)O)O)O)O	384.15	568.15	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
octanal	CCCCCCCC=O	250.14999999999998	444.15	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(3-amino-3-carboxypropyl)-dimethylsulfanium	C[S+](C)CCC(C(=O)O)N	412.15	None	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2-methoxyphenol	COC1=CC=CC=C1O	302.21666666666664	505.00714285714287	9	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
2-benzamidoacetic acid	C1=CC=C(C=C1)C(=O)NCC(=O)O	462.98333333333335	None	9	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
2-aminohexanedioic acid	C(CC(C(=O)O)N)CC(=O)O	470.15	None	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2-methylpropanedioic acid	CC(C(=O)O)C(=O)O	408.15	None	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-oxopyrrolidine-2-carboxylic acid	C1CC(=O)NC1C(=O)O	431.65	None	7	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
propanal	CCC=O	192.61296296296297	321.7055555555555	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-acetyloxy-2-aminobutanoic acid	CC(=O)OCCC(C(=O)O)N	473.15	None	7	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
selane	[SeH2]	207.0759259259259	232.0759259259259	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-aminocyclopropane-1-carboxylic acid	C1CC1(C(=O)O)N	503.15	None	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
cyanic acid	C(#N)O	187.14999999999998	None	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4-nitrobenzaldehyde	C1=CC(=CC=C1C=O)[N+](=O)[O-]	380.15	None	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0
arsorous acid	O[As](O)O	None	738.15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
2-phosphonoacetic acid	C(C(=O)O)P(=O)(O)O	417.65	None	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2-(3,4-dihydroxyphenyl)acetic acid	C1=CC(=C(C=C1CC(=O)O)O)O	414.8166666666666	None	4	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
6-aminohexanoic acid	C(CCC(=O)O)CCN	477.15	None	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
dibenzofuran	C1=CC=C2C(=C1)C3=CC=CC=C3O2	359.73333333333335	560.224074074074	12	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
